,Neighbourhood,ADMIN_LEVE,geometry,Lon,Lat
0,Spanyolrét,10,POINT (18.9816269404147 47.46681118057516),18.981626940414703,47.46681118057516
1,Pösingermajor,10,POINT (18.97902691669148 47.47534846098959),18.979026916691478,47.475348460989586
2,Csillebérc,10,POINT (18.96447587425794 47.48778022616992),18.964475874257936,47.487780226169924
3,Széchenyihegy,10,POINT (18.98177263365786 47.49180290940061),18.98177263365786,47.49180290940061
4,Svábhegy,10,POINT (18.97799832242943 47.50112631221246),18.977998322429432,47.50112631221246
5,Adyliget,10,POINT (18.93659039721888 47.54605837097774),18.936590397218882,47.54605837097774
6,Budakeszierdő,10,POINT (18.9472926763951 47.50975692039173),18.9472926763951,47.50975692039173
7,Jánoshegy,10,POINT (18.96113198845053 47.51810609195857),18.96113198845053,47.51810609195857
8,Zugliget,10,POINT (18.9713517735846 47.51184378118847),18.9713517735846,47.511843781188475
9,Kurucles,10,POINT (18.97668332296114 47.52450594873627),18.976683322961136,47.52450594873627
10,Petneházyrét,10,POINT (18.94188485347904 47.537244586139),18.94188485347904,47.537244586139
11,Hárshegy,10,POINT (18.95750157100366 47.53359011240003),18.957501571003665,47.53359011240003
12,Hűvösvölgy,10,POINT (18.96258489569479 47.54067536182192),18.96258489569479,47.54067536182192
13,Erzsébettelek,10,POINT (18.95764020161852 47.54576357698991),18.957640201618524,47.54576357698991
14,Lipótmező,10,POINT (18.97768273808956 47.5320098571643),18.977682738089563,47.532009857164304
15,Nyék,10,POINT (18.97915418414222 47.54118567020399),18.979154184142224,47.541185670203994
16,Máriaremete,10,POINT (18.94580014946109 47.55454535779987),18.945800149461085,47.554545357799874
17,Remetekertváros,10,POINT (18.95646831330106 47.55192138198685),18.95646831330106,47.55192138198685
18,Széphalom,10,POINT (18.95903288389286 47.56018341039606),18.95903288389286,47.56018341039606
19,Budaliget,10,POINT (18.94022216003605 47.5677167604152),18.940222160036047,47.5677167604152
20,Hársakalja,10,POINT (18.966754260045 47.55079028896265),18.966754260045004,47.55079028896265
21,Kővár,10,POINT (18.98319777254417 47.55612230162492),18.98319777254417,47.556122301624924
22,Erzsébetliget,10,POINT (18.97024766952904 47.56240103320844),18.970247669529044,47.56240103320844
23,Gercse,10,POINT (18.97713750552943 47.56914849161182),18.977137505529427,47.56914849161182
24,Pesthidegkút-Ófalu,10,POINT (18.95656798050347 47.57221456935871),18.956567980503472,47.57221456935871
25,Nagytétény,10,POINT (18.97902671246122 47.39918071771793),18.979026712461216,47.39918071771793
26,Baross Gábor-telep,10,POINT (18.9922354596585 47.41938278066345),18.9922354596585,47.419382780663454
27,Budatétény,10,POINT (19.01232866666766 47.41360947615495),19.012328666667663,47.41360947615495
28,Csepel-Háros,10,POINT (19.04604265946423 47.39497542410862),19.046042659464234,47.39497542410862
29,Csepel-Rózsadomb,10,POINT (19.04798886457314 47.40692302920021),19.047988864573142,47.40692302920021
30,Csepel-Csillagtelep,10,POINT (19.06389111020387 47.41140370915523),19.063891110203866,47.41140370915523
31,Kamaraerdő,10,POINT (18.98402824704154 47.43147515407413),18.98402824704154,47.43147515407413
32,Budafok,10,POINT (19.02694539889645 47.42178596418041),19.026945398896455,47.42178596418041
33,Kőérberek,10,POINT (18.99483602931243 47.4419460011974),18.994836029312427,47.4419460011974
34,Örsöd,10,POINT (18.98838903795799 47.45492774232224),18.988389037957994,47.45492774232224
35,Dobogó,10,POINT (19.0040835032332 47.45900888725605),19.0040835032332,47.459008887256054
36,Kelenvölgy,10,POINT (19.02468859307635 47.4487020424549),19.02468859307635,47.4487020424549
37,Péterhegy,10,POINT (19.01043450723718 47.44971925670884),19.01043450723718,47.44971925670884
38,Csepel-Gyártelep,10,POINT (19.05614275180388 47.42481312438907),19.056142751803876,47.42481312438907
