,Neighbourhood,Borough,Postcode,Lat,Lon
0,Abbey Wood,"Bexley, Greenwich",SE2,51.4926116,0.1188182
1,Acton,"Ealing, Hammersmith and Fulham","W3, W4",51.50837199999999,-0.27444
6,Aldgate,City,EC3,51.5134382,-0.0771712
7,Aldwych,Westminster,WC2,51.5132657,-0.1171832
9,Anerley,Bromley,SE20,51.4119109,-0.06797779999999999
10,Angel,Islington,"EC1, N1",51.5346761,-0.1042905
12,Archway,Islington,N19,51.5648883,-0.1323808
15,Arnos Grove,Enfield,"N11, N14",51.619799,-0.1296871
16,Balham,Wandsworth,SW12,51.4439889,-0.1494105
17,Bankside,Southwark,SE1,51.50813729999999,-0.09518360000000001
18,Barbican,City,"EC1, EC2",51.5202077,-0.09378639999999999
22,Barnes,Richmond upon Thames,SW13,51.4752941,-0.2392052
26,Barnsbury,Islington,N1,51.540356,-0.118345
27,Battersea,Wandsworth,SW11,51.47220069999999,-0.165547
28,Bayswater,Westminster,W2,51.5135456,-0.1865659
34,Bedford Park,Ealing,W4,51.5019192,-0.2553185
35,Belgravia,Westminster,SW1,51.4982272,-0.1535489
36,Bellingham,Lewisham,SE6,51.43292539999999,-0.0182779
39,Belsize Park,Camden,NW3,51.5475617,-0.1671077
41,Bermondsey,Southwark,SE1,51.49226549999999,-0.0652005
43,Bethnal Green,Tower Hamlets,E2,51.531103,-0.0480805
49,Blackfriars,City,EC4,51.51199200000001,-0.1038617
50,Blackheath,Lewisham,SE3,51.4658393,0.0090338
51,Blackheath Royal Standard,Greenwich,"SE3, SE12",51.4779946,0.0202001
52,Blackwall,Tower Hamlets,E14,51.5079838,-0.007195699999999999
54,Bloomsbury,Camden,WC1,51.5218962,-0.1279597
56,Bounds Green,Haringey,"N11, N22",51.6086813,-0.1274673
57,Bow,Tower Hamlets,E3,51.5320893,-0.0308201
58,Bowes Park,Haringey,N22,51.6063432,-0.1170915
60,Brent Cross,Barnet,"NW2, NW4",51.5763589,-0.2236956
61,Brent Park,Brent,NW10,51.55263000000001,-0.2568869
63,Brixton,Lambeth,"SW2, SW9, SE5",51.4612794,-0.1156148
64,Brockley,Lewisham,SE4,51.46377160000001,-0.0366031
66,Bromley (also Bromley-by-Bow),Tower Hamlets,E3,51.5278208,-0.0128373
68,Brompton,Kensington and ChelseaHammersmith and Fulham,SW3,51.5143709,-0.1221616
69,Brondesbury,Brent,NW6,51.5453971,-0.2004112
70,Brunswick Park,Barnet,N11,51.4749452,-0.0858591
73,"Burroughs, The",Barnet,NW4,51.5878396,-0.2290354
74,Camberwell,Southwark,SE5,51.4740846,-0.09301369999999999
75,Cambridge Heath,Tower Hamlets,E2,51.5310934,-0.05761819999999999
76,Camden Town,Camden,NW1,51.5390261,-0.1425516
77,Canary Wharf,Tower Hamlets,E14,51.5054306,-0.0235333
78,Cann Hall,Waltham Forest,E11,51.5555076,0.0116085
79,Canning Town,Newham,E16,51.5189494,0.0132
80,Canonbury,Islington,N1,51.5461812,-0.1017592
82,Castelnau,Richmond upon Thames,SW13,51.48118940000001,-0.2366967
84,Catford,Lewisham,SE6,51.4453954,-0.0160913
86,Chalk Farm,Camden,NW1,51.5444834,-0.152158
87,Charing Cross,Westminster,WC2,51.5090275,-0.1255016
88,Charlton,Greenwich,SE7,51.4900403,0.0307737
91,Chelsea,Kensington and Chelsea,SW3,51.4869429,-0.170037
94,Childs Hill,Barnet,NW2,51.5628261,-0.1964807
95,Chinatown,Westminster,W1,51.5108814,-0.131409
